conv_id,speaker,utterance,persona,path,topic
0,1,great i am loving me some cheese this fall, i just turned 65 this past week.  i like cheddar.  patrick is my favorite character.  my favorite singer is ole blues himself.,fall - terve - roll - camera,terve
0,0,i'm sure we all know how good the terve is. how about the roll?,,,
0,1,i like terve to the max., i just turned 65 this past week.  i like cheddar.  patrick is my favorite character.  my favorite singer is ole blues himself.,fall - terve - roll - camera,roll
0,0,i heard you are rolling with a camera. can you give me a quick tutorial on how to roll some photos.,,,
0,1,ive rolled many times in the past couple of days and it was super easy., i just turned 65 this past week.  i like cheddar.  patrick is my favorite character.  my favorite singer is ole blues himself.,fall - terve - roll - camera,camera
0,0,awesome. i will try the roll out at my next shoot then.,,,
1,1,yes of course glad you trust me already, i like rock music.  i am not a cat person.  i like both red and blue.  i enjoy the water.  i have a house.,trust - fiduciary - person - clothes,fiduciary
1,0,good that you trust your fiduciary.,,,
1,1,i am a fiduciary too., i like rock music.  i am not a cat person.  i like both red and blue.  i enjoy the water.  i have a house.,trust - fiduciary - person - clothes,person
1,0,you should also trust your person.,,,
1,1,my person is not trustworthy., i like rock music.  i am not a cat person.  i like both red and blue.  i enjoy the water.  i have a house.,trust - fiduciary - person - clothes,clothes
1,0,you should buy a new pair of clothes to wear.,,,
2,1,"hi ! no , that is bad , you know ! but i do not judge .", i lived in a rural area as a child.  i've family serving overseas.  i enjoy being around animals.  my sister has children.,know - let - out - restaurant,let
2,0,let me give you some advice.,,,
2,1,let me tell you a secret., i lived in a rural area as a child.  i've family serving overseas.  i enjoy being around animals.  my sister has children.,know - let - out - restaurant,out
2,0,is that in english?,,,
2,1,let me finish., i lived in a rural area as a child.  i've family serving overseas.  i enjoy being around animals.  my sister has children.,know - let - out - restaurant,restaurant
2,0,you're going to the restaurant so you should at least go to the restroom before having a drink.,,,
3,1,hi ! i just started school and recently met a new girl who i am dating, i've a lot of dietary restrictions.  i like to learn about history.  i'm learning.  i met a partner recently.,meet - fit - out - restaurant,fit
3,0,i think you should get a gym membership.,,,
3,1,i was thinking of becoming a fitness model., i've a lot of dietary restrictions.  i like to learn about history.  i'm learning.  i met a partner recently.,meet - fit - out - restaurant,out
3,0,you could go running in the park.,,,
3,1,we can run in the park., i've a lot of dietary restrictions.  i like to learn about history.  i'm learning.  i met a partner recently.,meet - fit - out - restaurant,restaurant
3,0,did you have a good time at the restaurant,,,
4,1,i know how u feel my job is mind numbing snake oil, i like to coquettishly gaze at men from across the room.  i go shopping a lot.  i like to listen to music.  i stare at condensing water vapor in the sky.  there are no opportunities in my career.,know - let - out - restaurant,let
4,0,let's go to the restaurant.,,,
4,1,i agree let's go to the restaurant., i like to coquettishly gaze at men from across the room.  i go shopping a lot.  i like to listen to music.  i stare at condensing water vapor in the sky.  there are no opportunities in my career.,know - let - out - restaurant,out
4,0,im gonna order you up a hot dog.,,,
4,1,im fine out here., i like to coquettishly gaze at men from across the room.  i go shopping a lot.  i like to listen to music.  i stare at condensing water vapor in the sky.  there are no opportunities in my career.,know - let - out - restaurant,restaurant
4,0,if you do not like to be in a small room. i am gonna go get us one of those huge pizza's.,,,
5,1,pizza sounds good right now !, i enjoy eating sweet natural foods.  i am in contests.  i love being in the water.  i enjoy skiing and snowboarding.,pizza - sausage - roll - travel,sausage
5,0,you can add sausages to pizza too.,,,
5,1,"ive never eaten sausage on pizza, but now i am getting it!", i enjoy eating sweet natural foods.  i am in contests.  i love being in the water.  i enjoy skiing and snowboarding.,pizza - sausage - roll - travel,roll
5,0,you can make some meat-like rolls then.,,,
5,1,you can also make meat-like rolls., i enjoy eating sweet natural foods.  i am in contests.  i love being in the water.  i enjoy skiing and snowboarding.,pizza - sausage - roll - travel,travel
5,0,so you should bring those when you go on a trip with friends.,,,
6,1,hi sarah ! my day is nasty ! lol, i play basketball and football.  my goal is to travel in uncharted territory.  i am looking for a new career.  i love the sky in the evening.  i go to dubai.,nasty - feet - measure - travel,feet
6,0,"i can imagine your feet are nasty, you should take a look at some new shoes.",,,
6,1,i love feet. they are so soft and i always forget to take care of them., i play basketball and football.  my goal is to travel in uncharted territory.  i am looking for a new career.  i love the sky in the evening.  i go to dubai.,nasty - feet - measure - travel,measure
6,0,where do you measure your feet sarah?,,,
6,1,i measure my feet in a pair of socks. i should measure them in the sand., i play basketball and football.  my goal is to travel in uncharted territory.  i am looking for a new career.  i love the sky in the evening.  i go to dubai.,nasty - feet - measure - travel,travel
6,0,i also measure my feet at the beach.,,,
7,1,"hi , good luck with that ! i am allergic to cats", i don't like insects.  my female parent does it all on her own.  i have a way i prefer to do things.  i'm a religious person.  i've health issues where i can not travel to higher levels.,luck - trot - globetrot - travel,trot
7,0,do you like trot?,,,
7,1,i do not like trot, i don't like insects.  my female parent does it all on her own.  i have a way i prefer to do things.  i'm a religious person.  i've health issues where i can not travel to higher levels.,luck - trot - globetrot - travel,globetrot
7,0,"what about globetrot, is that something you would enjoy?",,,
7,1,"i am not sure about globetrot, i am afraid it will be a lot of work", i don't like insects.  my female parent does it all on her own.  i have a way i prefer to do things.  i'm a religious person.  i've health issues where i can not travel to higher levels.,luck - trot - globetrot - travel,travel
7,0,sometimes you can get free flights to travel.,,,
8,1,"i hear you , stayed up far too late and am feeling it now", i am working on a book.  vegetables in general are not my thing.  i like watching television shows with men in them.  i often wear dark clothing.  i love my smartphone.,hear - get - out - restaurant,get
8,0,"i hear you, i must have missed class today",,,
8,1,"i am not feeling very well, i have to see a doctor", i am working on a book.  vegetables in general are not my thing.  i like watching television shows with men in them.  i often wear dark clothing.  i love my smartphone.,hear - get - out - restaurant,out
8,0,you should go to this restaurant for a quick bite.,,,
8,1,i just can't seem to go out today., i am working on a book.  vegetables in general are not my thing.  i like watching television shows with men in them.  i often wear dark clothing.  i love my smartphone.,hear - get - out - restaurant,restaurant
8,0,you should go to this restaurant for lunch.,,,
9,1,wow you are talented . i like to ride horses ., i am sick when i eat fish.  i like animals.  i want my work to be impactful.  i love anything dairy !.,ride - piggyback - computer - laptop,piggyback
9,0,"wow, you can ride a piggyback just like that?",,,
9,1,"im not good at riding horses, but i do like pigs!", i am sick when i eat fish.  i like animals.  i want my work to be impactful.  i love anything dairy !.,ride - piggyback - computer - laptop,computer
9,0,do you wanna try assembling a pc?,,,
9,1,i has assembled a gaming computer 2 years ago., i am sick when i eat fish.  i like animals.  i want my work to be impactful.  i love anything dairy !.,ride - piggyback - computer - laptop,laptop
9,0,wow you are talented. i like to ride horses.,,,
10,1,"oooh , las vegas .", i enjoy wearing the color of lips.  one of my accessories is a crimson clutch.  crimson is a hot color on my foot.  i like classic makeup.  my ride is cherry.,true - and - go - restaurant,and
10,0,what do you mean with this # statement.,,,
10,1,it means im really having fun in las vegas., i enjoy wearing the color of lips.  one of my accessories is a crimson clutch.  crimson is a hot color on my foot.  i like classic makeup.  my ride is cherry.,true - and - go - restaurant,go
10,0,you can go to the a restaurant there.,,,
10,1,i need to go to a good cafe., i enjoy wearing the color of lips.  one of my accessories is a crimson clutch.  crimson is a hot color on my foot.  i like classic makeup.  my ride is cherry.,true - and - go - restaurant,restaurant
10,0,do you prefer walking to go to restaurants?,,,
11,1,glad you are having a good day, i an a professional painter.  i can talk two ways.  in the next few weeks i'm leaving my hometown.  i like climbing.  i own dogs !.,celebrate - mass - churn - travel,mass
11,0,you should celebrate mass!,,,
11,1,"do you know how you celebrate mass? with food, music, dancing, and.", i an a professional painter.  i can talk two ways.  in the next few weeks i'm leaving my hometown.  i like climbing.  i own dogs !.,celebrate - mass - churn - travel,churn
11,0,but do you know what is churn?,,,
11,1,i do not know what churn is, i an a professional painter.  i can talk two ways.  in the next few weeks i'm leaving my hometown.  i like climbing.  i own dogs !.,celebrate - mass - churn - travel,travel
11,0,why would you want to travel?,,,
12,1,"hi . trying to enjoy everything about life , since there , sadly , isn't much left .", i'm dying.  i like boy bands.  breaded tilapia is my favorite dinner dish.  i have to drink dairy free milk.,leave - single - person - clothes,single
12,0,have you been going on dates lately?,,,
12,1,my friend said he is dating someone., i'm dying.  i like boy bands.  breaded tilapia is my favorite dinner dish.  i have to drink dairy free milk.,leave - single - person - clothes,person
12,0,he's a good person.,,,
12,1,"ive a friend that i met at a party recently, a super sweet guy.", i'm dying.  i like boy bands.  breaded tilapia is my favorite dinner dish.  i have to drink dairy free milk.,leave - single - person - clothes,clothes
12,0,you must dress up on dates.,,,
13,1,hi i'm good . i collect toys that are specifically wearing rain coats ., i want to bang the dude next door.  i sense things others can not.  i own flashers.  i like to be surprised by my food.,wear - eye - top - laptop,eye
13,0,"i can relate to you, i too collect eye wear.",,,
13,1,what kind of eye wear do you like?, i want to bang the dude next door.  i sense things others can not.  i own flashers.  i like to be surprised by my food.,wear - eye - top - laptop,top
13,0,i like the ones that can read your mind. do you have similar collection?,,,
13,1,im on to your game., i want to bang the dude next door.  i sense things others can not.  i own flashers.  i like to be surprised by my food.,wear - eye - top - laptop,laptop
13,0,do you know what is the most recent new laptop?,,,
